concurso,data,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,ganhadores_15_num,ganhadores_14_num,ganhadores_13_num,ganhadores_12_num,ganhadores_11_num,valor_rateio_15_num,valor_rateio_14_num,valor_rateio_13_num,valor_rateio_12_num,valor_rateio_11_num
85,09/05/2005,01,02,11,21,16,08,23,07,18,22,14,15,05,13,09,13,988,41716,303054,1673514,86488.60,485.87,10.00,4.00,2.00
86,16/05/2005,13,19,12,18,05,06,09,24,23,04,17,08,25,02,14,14,1437,33924,344925,1583126,81060.95,337.18,10.00,4.00,2.00
87,23/05/2005,11,03,18,25,05,24,13,08,15,10,09,22,01,02,20,14,1308,46044,353024,1711252,62917.54,287.52,10.00,4.00,2.00
88,30/05/2005,08,10,18,24,11,01,17,02,25,09,14,19,12,04,05,5,853,30153,318718,1383793,257018.77,643.22,10.00,4.00,2.00
89,06/06/2005,23,16,01,12,21,25,17,19,13,20,24,15,06,11,22,2,528,59274,230638,1266634,858145.42,1393.10,10.00,4.00,2.00
90,13/06/2005,22,10,11,08,17,20,23,03,21,01,15,25,02,12,24,4,525,17979,236987,1539050,400382.66,1307.37,10.00,4.00,2.00
91,20/06/2005,16,23,01,25,22,14,09,13,11,10,12,15,04,20,17,2,428,23937,203510,1341264,880833.62,1764.02,10.00,4.00,2.00
92,27/06/2005,17,06,04,01,08,15,02,19,14,13,12,18,21,24,22,5,714,22604,257642,1433995,290246.68,871.09,10.00,4.00,2.00
93,04/07/2005,04,24,07,17,09,13,18,20,05,06,10,21,02,19,23,6,480,18433,230658,1352474,271483.43,1454.37,10.00,4.00,2.00
94,11/07/2005,21,09,13,12,11,15,04,22,24,16,08,18,23,02,17,2,573,29882,267884,1577059,694861.30,1039.43,10.00,4.00,2.00
95,18/07/2005,10,04,18,22,01,03,20,19,17,02,15,05,11,12,14,2,401,20787,231813,1294859,883199.51,1887.85,10.00,4.00,2.00
96,25/07/2005,09,17,24,06,16,10,23,18,14,19,04,03,12,21,22,1,454,16790,220370,1209732,1793190.45,1692.75,10.00,4.00,2.00
97,02/08/2005,04,10,13,22,17,03,23,24,12,14,15,25,19,20,06,4,539,19062,237912,1490877,379485.48,1206.95,10.00,4.00,2.00
98,08/08/2005,24,17,15,25,08,18,22,06,01,11,23,20,05,02,10,5,1089,31800,376336,1625070,238130.55,466.80,10.00,4.00,2.00
99,15/08/2005,04,07,24,25,20,14,01,02,10,16,17,11,21,13,03,4,695,19351,227907,1278734,424895.89,1048.05,10.00,4.00,2.00
100,22/08/2005,11,22,14,25,10,08,23,13,04,16,17,09,03,12,01,6,547,39008,241845,1371980,251438.56,1182.00,10.00,4.00,2.00
101,29/08/2005,07,06,14,19,13,03,21,23,01,24,16,17,09,20,10,9,917,26691,287551,1473207,144911.71,607.23,10.00,4.00,2.00
102,05/09/2005,19,04,22,01,07,23,10,25,21,11,18,02,03,09,12,5,622,20635,267607,1361023,323383.57,1114.09,10.00,4.00,2.00
103,12/09/2005,23,18,01,07,05,22,02,03,25,10,04,17,08,16,11,5,467,26477,269789,1577960,276012.69,1266.50,10.00,4.00,2.00
104,19/09/2005,06,05,22,24,19,16,11,14,21,13,15,25,07,18,10,2,354,13835,196494,1186254,982532.88,2379.02,10.00,4.00,2.00
105,26/09/2005,08,07,10,12,25,09,15,22,19,06,11,13,04,17,21,2,425,15988,225268,1278152,855532.63,1725.44,10.00,4.00,2.00
106,03/10/2005,05,15,03,01,04,13,22,02,25,06,10,17,14,23,12,3,471,22766,286573,1570457,442710.00,1208.49,10.00,4.00,2.00
107,10/10/2005,24,04,07,17,21,12,15,03,25,11,01,18,06,08,09,1,494,16680,215950,1314644,1801807.58,1563.17,10.00,4.00,2.00
108,17/10/2005,09,15,25,14,16,02,08,11,12,07,01,22,04,23,18,8,1094,26164,281728,1425759,159562.30,498.16,10.00,4.00,2.00
109,24/10/2005,09,07,23,01,11,25,18,13,20,03,21,05,24,16,12,14,2257,44187,335886,1552174,76346.11,202.19,10.00,4.00,2.00
110,31/10/2005,23,20,03,06,05,01,04,25,12,13,21,17,22,14,19,2,442,23523,280697,1423182,706957.82,1370.96,10.00,4.00,2.00
111,07/11/2005,10,01,19,21,25,17,12,05,11,15,13,24,06,18,22,1,415,17785,266234,1440550,1503858.33,1553.04,10.00,4.00,2.00
112,14/11/2005,20,10,02,06,19,21,18,03,17,11,01,14,04,15,23,1,341,13885,218980,1274318,1749331.36,2198.57,10.00,4.00,2.00
113,21/11/2005,06,14,24,02,19,05,12,08,20,21,04,11,01,13,25,3,437,16637,236170,1390432,514867.34,1514.81,10.00,4.00,2.00
114,28/11/2005,20,03,22,09,06,02,14,01,10,25,24,11,21,08,07,0,320,11371,182608,1159190,0.00,2542.69,10.00,4.00,2.00
115,05/12/2005,04,17,05,16,06,11,20,09,12,21,25,07,13,01,18,1,674,22580,326888,1754217,4081776.78,1388.24,10.00,4.00,2.00
116,12/12/2005,11,13,18,10,25,23,16,01,14,02,19,21,12,09,20,2,484,20047,292261,1619598,848830.45,1503.24,10.00,4.00,2.00
117,19/12/2005,14,20,05,11,09,23,18,17,06,13,25,15,07,12,10,3,498,18606,280170,1592727,569686.18,1470.79,10.00,4.00,2.00
118,27/12/2005,24,15,21,22,18,04,14,13,19,06,12,02,23,08,05,4,660,35222,301415,1520411,357319.00,928.10,10.00,4.00,2.00
119,02/01/2006,15,01,21,22,09,04,18,06,24,20,23,11,08,10,17,1,370,20989,223234,1259823,1663143.71,1926.43,10.00,4.00,2.00
120,09/01/2006,03,08,19,07,20,16,15,13,12,11,01,24,18,21,05,2,758,25198,303361,1549722,746715.01,844.38,10.00,4.00,2.00
121,16/01/2006,17,24,25,23,07,02,04,05,11,10,09,01,18,16,12,3,830,27637,298499,1491043,492515.31,760.04,10.00,4.00,2.00
122,23/01/2006,05,22,02,10,13,15,09,20,04,25,01,18,23,17,08,8,1291,32778,368045,1643408,136137.23,360.18,10.00,4.00,2.00
123,30/01/2006,20,13,21,06,18,05,04,07,17,24,19,12,23,11,22,4,670,18123,225258,1346974,422565.92,1081.20,10.00,4.00,2.00
124,06/02/2006,19,09,02,06,24,07,20,16,15,03,25,14,04,18,21,2,396,15090,194421,1186925,1036561.02,2243.64,10.00,4.00,2.00
125,13/02/2006,10,22,07,06,12,16,11,21,04,09,24,03,02,25,15,2,395,13621,188288,1269512,1047965.76,2274.07,10.00,4.00,2.00
126,20/02/2006,07,22,18,08,13,25,16,01,21,04,24,14,03,02,06,0,493,18073,245449,1428758,0.00,1516.70,10.00,4.00,2.00
127,01/03/2006,05,25,04,01,13,02,12,18,22,19,23,07,03,10,11,5,633,26537,226287,1209770,519339.50,574.65,10.00,4.00,2.00
128,06/03/2006,17,02,14,21,03,23,06,15,13,11,04,16,19,25,20,2,422,18165,257399,1512543,830452.68,1686.77,10.00,4.00,2.00
129,13/03/2006,05,11,09,22,06,21,07,19,02,20,15,23,18,25,13,3,907,38023,333579,1684780,448986.01,634.05,10.00,4.00,2.00
130,20/03/2006,15,19,06,04,24,02,17,25,13,23,10,12,05,03,09,3,952,29720,362203,1689512,417614.17,561.87,10.00,4.00,2.00
131,27/03/2006,02,25,20,12,05,07,06,11,13,19,08,04,15,22,23,1,660,23967,320580,1600418,1341544.37,871.13,10.00,4.00,2.00
132,03/04/2006,09,25,14,11,07,15,01,22,16,04,05,17,03,10,23,10,792,26452,340872,1584197,135976.17,733.01,10.00,4.00,2.00
133,10/04/2006,18,22,09,03,15,20,08,21,04,19,13,01,11,23,05,5,895,32294,385069,1862691,217132.17,517.90,10.00,4.00,2.00
134,17/04/2006,12,16,05,07,11,19,08,25,22,17,14,01,03,10,13,4,1345,32243,321650,1628816,325378.91,413.15,10.00,4.00,2.00
135,24/04/2006,07,22,13,02,21,14,19,08,01,25,20,10,15,18,05,7,775,20815,253415,1441124,234154.46,906.41,10.00,4.00,2.00
136,02/05/2006,01,02,23,12,17,21,05,22,09,15,24,14,13,06,03,2,329,14555,238514,1255488,671843.75,1750.35,10.00,4.00,2.00
137,08/05/2006,18,06,19,25,11,08,17,20,16,10,02,21,12,09,13,2,313,12648,221694,1259615,937816.37,2568.19,10.00,4.00,2.00
138,15/05/2006,15,07,16,17,08,24,22,02,03,13,11,05,21,25,04,3,464,18695,250239,1503282,476718.72,1320.96,10.00,4.00,2.00
139,22/05/2006,22,24,23,12,01,15,07,14,21,16,17,02,09,18,19,1,443,18564,247145,1370404,1596786.85,1544.78,10.00,4.00,2.00
140,29/05/2006,12,10,19,01,25,22,15,06,02,24,13,20,09,18,03,7,787,22971,268181,1413296,210217.72,801.34,10.00,4.00,2.00
141,05/06/2006,18,12,19,03,08,17,13,01,25,20,10,16,09,24,07,2,471,17588,247734,1532701,793662.96,1444.34,10.00,4.00,2.00
142,12/06/2006,01,18,19,05,23,07,06,16,17,24,15,09,22,04,02,1,373,15636,246926,1364705,1692224.96,1944.35,10.00,4.00,2.00
143,19/06/2006,21,11,22,09,24,08,17,15,25,01,16,23,13,19,02,5,677,29324,326923,1643883,201113.36,634.16,10.00,4.00,2.00
144,26/06/2006,12,17,01,02,21,04,14,22,09,24,20,07,19,11,25,36,3305,39042,295178,1379832,35936.80,167.14,10.00,4.00,2.00
145,03/07/2006,14,15,20,22,13,10,25,11,18,09,24,02,03,01,17,3,815,30436,317461,1442001,395268.82,621.20,10.00,4.00,2.00
146,10/07/2006,17,22,12,02,11,05,24,10,14,13,25,16,01,23,08,6,557,21375,302776,1519562,219758.40,1014.53,10.00,4.00,2.00
147,17/07/2006,02,05,12,13,21,23,22,11,01,10,06,25,04,19,16,3,624,25125,278315,1546507,472583.65,973.73,10.00,4.00,2.00
148,24/07/2006,05,22,24,02,01,12,08,21,16,25,20,09,13,04,17,17,1024,23278,276551,1552055,84381.14,598.09,10.00,4.00,2.00
149,01/08/2006,24,19,02,17,16,09,25,05,20,18,13,10,15,23,07,5,616,22974,303309,1711630,235870.42,820.52,10.00,4.00,2.00
150,07/08/2006,21,07,11,05,08,19,01,25,06,22,24,14,23,09,03,1,333,15291,253716,1446824,1641679.38,2112.84,10.00,4.00,2.00
151,14/08/2006,18,10,13,11,03,09,12,04,23,07,24,16,14,05,20,5,626,23014,277803,1417099,333476.48,1141.52,10.00,4.00,2.00
152,21/08/2006,23,03,25,06,19,22,24,15,07,17,08,13,20,04,05,3,749,23507,300483,1517767,435453.14,744.65,10.00,4.00,2.00
153,28/08/2006,13,21,05,25,08,20,23,12,11,04,01,18,02,24,17,8,958,30251,365810,1713398,130468.18,465.16,10.00,4.00,2.00
154,04/09/2006,18,09,16,05,15,24,23,10,01,11,14,06,13,03,02,1,604,27326,262834,1558936,1415829.77,1004.61,10.00,4.00,2.00
155,11/09/2006,15,10,16,14,08,11,19,02,21,20,18,04,05,22,24,0,559,22378,250331,1242889,0.00,1352.92,10.00,4.00,2.00
156,18/09/2006,03,08,09,15,13,10,12,04,23,20,22,01,19,11,14,7,606,23142,344899,1779082,544973.94,1449.91,10.00,4.00,2.00
157,25/09/2006,10,14,02,18,25,09,21,07,24,01,16,06,04,12,19,9,1164,27968,294624,1457786,184264.18,608.27,10.00,4.00,2.00
158,02/10/2006,11,15,22,17,12,23,02,07,16,18,19,09,20,10,08,2,379,14044,227436,1333606,903537.47,2043.43,10.00,4.00,2.00
159,09/10/2006,11,02,01,03,17,15,25,10,24,14,04,06,08,05,20,2,699,23036,296027,1584286,703307.50,862.43,10.00,4.00,2.00
160,16/10/2006,15,14,03,12,16,24,19,21,20,17,10,04,09,01,11,3,343,15261,208539,1221736,597551.18,2239.89,10.00,4.00,2.00
161,19/10/2006,21,24,01,08,20,17,25,18,11,05,15,23,22,16,13,0,611,15775,239227,918806,0.00,331.96,10.00,4.00,2.00
162,23/10/2006,03,01,12,06,20,11,05,16,24,02,08,23,13,04,18,5,473,17329,259119,1359430,326388.90,1048.22,10.00,4.00,2.00
163,26/10/2006,21,03,14,06,02,01,25,09,15,13,20,24,23,07,05,3,301,14090,182825,1000015,264578.33,1130.14,10.00,4.00,2.00
164,30/10/2006,01,11,14,05,15,10,02,06,21,18,03,24,08,23,22,1,350,14833,215986,1200787,1166134.45,1427.92,10.00,4.00,2.00
165,03/11/2006,09,01,19,13,14,04,12,15,25,02,22,08,18,17,06,2,474,15818,152856,784846,370695.33,667.80,10.00,4.00,2.00
166,06/11/2006,18,03,09,21,19,22,08,15,10,23,14,02,20,04,13,39,1363,18402,206939,965304,30597.68,373.80,10.00,4.00,2.00
167,09/11/2006,18,10,01,13,19,09,16,14,24,02,06,03,22,08,23,3,531,16831,202659,1017291,302468.28,729.59,10.00,4.00,2.00
168,13/11/2006,01,07,20,04,19,12,24,03,15,17,16,02,10,23,22,1,386,15449,205259,1185853,1467158.17,1628.97,10.00,4.00,2.00
169,16/11/2006,04,16,24,06,08,11,15,10,01,21,05,12,09,07,20,0,239,8661,119123,733474,0.00,1973.03,10.00,4.00,2.00
170,21/11/2006,07,22,25,04,13,23,06,05,01,20,03,10,18,08,16,1,614,25288,329486,1467483,2382496.82,894.98,10.00,4.00,2.00
171,23/11/2006,24,03,25,10,17,13,16,22,15,04,01,23,12,11,21,4,268,9173,148445,853294,214073.05,1369.34,10.00,4.00,2.00
172,27/11/2006,02,18,09,11,07,13,06,01,04,25,12,20,21,22,10,1,491,15871,198340,1108489,1294736.87,1130.12,10.00,4.00,2.00
173,30/11/2006,02,05,11,23,22,15,08,24,20,21,19,03,07,04,25,0,245,10219,148861,869873,0.00,1729.59,10.00,4.00,2.00
174,04/12/2006,04,07,13,23,10,20,02,09,01,15,24,17,12,25,11,11,1312,35908,358227,1677488,164220.21,266.09,10.00,4.00,2.00
175,07/12/2006,07,11,02,14,18,05,21,19,16,03,15,12,24,13,06,2,267,11214,149794,846444,640155.35,2055.07,10.00,4.00,2.00
176,11/12/2006,12,25,15,21,10,04,24,16,11,13,18,02,22,17,23,1,807,33717,236870,1292800,1219699.48,645.28,10.00,4.00,2.00
177,14/12/2006,24,16,11,13,06,19,02,17,07,08,15,20,10,23,21,2,513,17607,189127,1003314,561611.08,938.37,10.00,4.00,2.00
178,18/12/2006,06,03,21,25,10,20,19,23,09,04,08,02,24,16,14,1,283,13048,190022,1115303,1521659.37,2304.38,10.00,4.00,2.00
179,21/12/2006,02,15,17,03,22,19,14,07,23,25,05,04,24,09,13,6,1085,31036,321695,1307885,82980.10,195.92,10.00,4.00,2.00
180,26/12/2006,02,04,11,20,17,25,24,07,01,05,03,10,15,06,08,13,7687,18027,183658,1062910,68697.01,49.61,10.00,4.00,2.00
181,28/12/2006,01,16,22,05,20,07,23,08,15,04,06,14,17,19,21,2,360,9926,121305,708743,648701.32,1544.53,10.00,4.00,2.00
182,02/01/2007,11,22,08,19,17,03,02,14,25,09,07,21,13,23,04,7,928,23347,253900,1053677,83505.82,268.93,10.00,4.00,2.00
